Question (Generative Setup),Answer (Generative Setup),Positive (Minimal Pairs Setup),Negative (Minimal Pairs Setup),Challenge Set
Vad har man oplockat när man har oavslutade affärer med någon?,Gås,Vad har man oplockat när man har oavslutade affärer med någon? Man har oplockat gås.,Vad har man oplockat när man har oavslutade affärer med någon? Man har oplockat kyckling.,
Vilken färg har strumporna man bär när man är avundsjuk?,Svarta,När man är avundsjuk bär man svarta strumpor.,När man är avundsjuk bär man gröna strumpor.,x
När man tycker att något saknar värde så hade man inte gett ett ruttet sådant för det.,Lingon,När man tycker att något saknar värde så hade man inte gett ett ruttet lingon för det.,När man tycker att något saknar värde så hade man inte gett ett ruttet äpple för det.,x
När det är den första som gör anspråk på begränsad resurs som är den som också får den är det först till den här som gäller. ,Kvarn,"När det är den första som gör anspråk på begränsad resurs som är den som också får den, är det först till kvarn som gäller.","När det är den första som gör anspråk på begränsad resurs som är den som också får den, är det först till skogen som gäller.",x
Om man är sysselsatt med många olika saker på samma gång så har man många av den här i elden.,Järn,Om man är sysselsatt med många olika saker på samma gång så har man många järn i elden.,Om man är sysselsatt med många olika saker på samma gång så har man många kol i elden.,
Vad har man bakom örat om man är listig och opålitlig?,Räv,Om man är listig och opålitlig har man en räv bakom örat.,Om man är listig och opålitlig har man en groda bakom örat.,x
"När man är helt lugn, vilken kroppsdel har man is i?",Magen,När man är helt lugn har man is i magen.,När man är helt lugn har man is i huvudet.,
När man inte har något att dölja har man rent mjöl i ,Påsen,När man inte har något att dölja har man rent mjöl i påsen.,När man inte har något att dölja har man rent mjöl i fickan.,x
När man är klumpig eller hjälplös så har man vadå för något mitt i handen?,Tummen,När man är klumpig eller hjälplös har man tummen mitt i handen.,När man är klumpig eller hjälplös har man fingret mitt i handen.,
En känslig fråga som man inte gärna talar om kallas för en het,Potatis,En känslig fråga som man inte gärna talar om kallas för en het potatis.,En känslig fråga som man inte gärna talar om kallas för en het soppa.,
När man har förverkat sina chanser har man satt sin sista...,Potatis,När man har förverkat sina chanser har man satt sin sista potatis.,När man har förverkat sina chanser har man satt sin sista kål.,x
Vad har man på näsan om man är bestämd och viljestark? ,Skinn,Om man är bestämd och viljestark har man skinn på näsan.,Om man är bestämd och viljestark har man hår på näsan.,
"Vad tar man sig ur när man hittar ett alternativt sätt att leva, för att man trots sina insatser länge förblivit på samma plats i livet, som på sitt jobb eller i sin vardag?",Ekorrhjulet,"När man hittar ett alternativt sätt att leva, för att man trots sina insatser länge förblivit på samma plats i livet, tar man sig ur ekorrhjulet.","När man hittar ett alternativt sätt att leva, för att man trots sina insatser länge förblivit på samma plats i livet, tar man sig ur hamsterhjulet.",x
Någon som är mycket hungrig är hungrig som en...,Varg,Någon som är mycket hungrig är hungrig som en varg.,Någon som är mycket hungrig är hungrig som en björn.,
Vad biter man i när man dör?,Gräset,När man dör biter man i gräset.,När man dör biter man i marken.,
När man är långsamt så drar man vadå för något efter sig?,Benen,När man är långsamt drar man benen efter sig.,När man är långsamt drar man fötterna efter sig.,
Om en person vid första anblick verkar dum men sedan imponerar med sin klokhet kan man säga att hen inte är född i...,Farstun,Om en person vid första anblick verkar dum men sedan imponerar med sin klokhet kan man säga att hen inte är född i farstun.,Om en person vid första anblick verkar dum men sedan imponerar med sin klokhet kan man säga att hen inte är född i sängen.,x
Om man på ett otrevligt sätt säger att någon ska vara tyst så säger man åt dem att hålla...,Käften,Om man på ett otrevligt sätt säger att någon ska vara tyst så säger man åt dem att hålla käften.,Om man på ett otrevligt sätt säger att någon ska vara tyst så säger man åt dem att hålla måttet.,
När något inte står rätt till så säger man att det ligger en sådan begraven.,Hund,När något inte står rätt till så säger man att det ligger en hund begraven.,När något inte står rätt till så säger man att det ligger en katt begraven.,
När det inte råder någon särskild fara så är det ingen sådan på isen.,Ko,När det inte råder någon särskild fara så är det ingen ko på isen.,När det inte råder någon särskild fara så är det ingen häst på isen.,x
När man inte skulle göra något för hur mycket pengar som helst så skulle man inte göra det för allt smör i...,Småland,När man inte skulle göra något för hur mycket pengar som helst så skulle man inte göra det för allt smör i Småland.,När man inte skulle göra något för hur mycket pengar som helst så skulle man inte göra det för allt smör i Skåne.,x
Om någon säger eller gör något som är helt dumt så har hen inte alla sådana hemma.,Hästar,Om någon säger eller gör något som är helt dumt så har hen inte alla hästar hemma.,Om någon säger eller gör något som är helt dumt så har hen inte alla kor hemma.,x
Om någon säger eller gör något som är helt dumt så har hen inte alla sådana i skåpet.,Koppar,Om någon säger eller gör något som är helt dumt så har hen inte alla koppar i skåpet.,Om någon säger eller gör något som är helt dumt så har hen inte alla tallrikar i skåpet.,
När man tittar snabbt och förstulet så kastar man ett så kallat...,Getöga,När man tittar snabbt och förstulet så kastar man ett getöga.,När man tittar snabbt och förstulet så kastar man ett rävöga.,x
När man ger upp så kastar man yxan i...,Sjön,När man ger upp så kastar man yxan i sjön.,När man ger upp så kastar man yxan i havet.,
När något är självklart och lätt att förstå så är det klart som...,Korvspad,När något är självklart och lätt att förstå så är det klart som korvspad.,När något är självklart och lätt att förstå så är det klart som vatten.,
När man skapar något av nästan ingenting så kokar man soppa på en...,Spik,När man skapar något av nästan ingenting så kokar man soppa på en spik.,När man skapar något av nästan ingenting så kokar man soppa på en kvist.,x
"När man tar en risk för att hjälpa någon ur en svår situation, vad krafsar man ur elden? ",Kastanjerna,"När man tar en risk för att hjälpa någon ur en svår situation, krafsar man kastanjerna ur elden.","När man tar en risk för att hjälpa någon ur en svår situation, krafsar man resterna ur elden.",
När man alltid gör motsatsen av vad alla andra uppfattar som självklart och vägrar ta andras råd så är man vadå för något mot strömmen?,Kärringen,"När man alltid gör motsatsen av vad alla andra uppfattar som självklart och vägrar ta andras råd, är man kärringen mot strömmen.","När man alltid gör motsatsen av vad alla andra uppfattar som självklart och vägrar ta andras råd, är man åsnen mot strömmen.",x
När man köper något utan att veta vad det verkligen är så köper man det här djuret i säcken. ,Grisen,"När man köper något utan att veta vad det verkligen är, köper man grisen i säcken.","När man köper något utan att veta vad det verkligen är, köper man katten i säcken.",
Om man spenderar mycket pengar på lyxprodukter lever man på stor...,Fot,Om man spenderar mycket pengar på lyxprodukter lever man på stor fot.,Om man spenderar mycket pengar på lyxprodukter lever man på stor väska.,
Om man har hemligheter som man försökt dölja så har man skelett i den här.,Garderoben,Om man har hemligheter som man försökt dölja så har man skelett i garderoben.,Om man har hemligheter som man försökt dölja så har man skelett i källaren.,
När någon kräks kan man även säga att hen lägger en...,Pizza,När någon kräks kan man även säga att hen lägger en pizza.,När någon kräks kan man även säga att hen lägger en gröt.,x
När alla i en grupp är påfallande lika så är de lika som...,Bär,När alla i en grupp är påfallande lika så är de lika som bär.,När alla i en grupp är påfallande lika så är de lika som ägg.,
När man lägger beslag på något kan man även säga att man lägger den här växten på det.,Rabarber,När man lägger beslag på något kan man även säga att man lägger rabarber på det.,När man lägger beslag på något kan man även säga att man lägger banan på det.,x
När man försämrar något lägger man lök på...,Laxen,När man försämrar något lägger man lök på laxen.,När man försämrar något lägger man lök på bullen.,x
Något som är mycket lätt att genomföra är lätt som en...,Plätt,Något som är mycket lätt att genomföra är lätt som en plätt.,Något som är mycket lätt att genomföra är lätt som en pannkaka.,x
Något stort och extraordinärt kan kallas för något i...,Hästväg,Något stort och extraordinärt kan kallas för något i hästväg.,Något stort och extraordinärt kan kallas för något i hagen.,x
När man gör något direkt och utan några omvägar så gör man det pang på...,Rödbetan,När man gör något direkt och utan några omvägar så gör man det pang på rödbetan.,När man gör något direkt och utan några omvägar så gör man det pang på geväret.,x
En person som man jobbar nära tillsammans med som en duo är ens...,Parhäst,En person som man jobbar nära tillsammans med som en duo är ens parhäst.,En person som man jobbar nära tillsammans med som en duo är ens parhund.,x
När man bara pratar strunt så pratar man...,Persilja,När man bara pratar strunt så pratar man persilja.,När man bara pratar strunt så pratar man koriander.,x
Den verkliga innebörden i något är dennes kärna.,Pudelns,Den verkliga innebörden i något är pudelns kärna.,Den verkliga innebörden i något är hundens kärna.,
Någon som blir ertappad på bar gärning blir ertappad med fingrarna i,Kakburken,Någon som blir ertappad på bar gärning blir ertappad med fingrarna i kakburken.,Någon som blir ertappad på bar gärning blir ertappad med fingrarna i gröten.,
Om man inte gör någonting trots att man borde så sitter man med armarna i... ,Kors,Om man inte gör någonting trots att man borde så sitter man med armarna i kors.,Om man inte gör någonting trots att man borde så sitter man med armarna i byxorna.,
När man behandlar någon på ett milt och varsamt sätt så behandlar man hen med...,Silkesvantar,När man behandlar någon på ett milt och varsamt sätt så behandlar man hen med silkesvantar.,När man behandlar någon på ett milt och varsamt sätt så behandlar man hen med guldkant.,
Att stoppa något innan det går för långt är att mota vem då i  grind?,Olle,Att stoppa något innan det går för långt är att mota Olle i grind.,Att stoppa något innan det går för långt är att mota oxen i grind.,x
När man förväntar sig att det värsta kommer att ske målar man vad på väggen?,Fan,När man förväntar sig att det värsta kommer att ske målar man fan på väggen.,När man förväntar sig att det värsta kommer att ske målar man Gud på väggen.,
Att ta hand om någon eller något som sedan vänder sig emot dig är att nära en orm vid sin...,Barm,Att ta hand om någon eller något som sedan vänder sig emot dig är att nära en orm vid sin barm.,Att ta hand om någon eller något som sedan vänder sig emot dig är att nära en orm vid sin bo.,
Ett nederlag med stora konsekvenser innebär att man möter sitt...,Waterloo,Ett nederlag med stora konsekvenser innebär att man möter sitt Waterloo.,Ett nederlag med stora konsekvenser innebär att man möter sitt nederlag.,
Om man ägnar sig åt sina egna privata intressen så odlar man sin...,Kål,Om man ägnar sig åt sina egna privata intressen så odlar man sin kål.,Om man ägnar sig åt sina egna privata intressen så odlar man sin sallad.,x
När man bara pratar strunt så pratar man i vilket plagg? ,Nattmössan,När man bara pratar strunt så pratar man i nattmössan.,När man bara pratar strunt så pratar man i nattlinnen.,x
Om man bestämmer något utan noggrannare bedömning så bestäms det på en...,Höft,Om man bestämmer något utan noggrannare bedömning så bestäms det på en höft.,Om man bestämmer något utan noggrannare bedömning så bestäms det på en mage.,
När något är träffande likt så är det på...,Kornet,När något är träffande likt så är det på kornet.,När något är träffande likt så är det på spegeln.,
När något görs utan förberedelse så görs det på rak...,Arm,När något görs utan förberedelse så görs det på rak arm.,När något görs utan förberedelse så görs det på rak ben.,
När något är på snedden så är det på...,Trekvart,När något är på snedden så är det på trekvart.,När något är på snedden så är det på spiken.,
Någon som är väldigt rik är rik som ett...,Troll,Någon som är väldigt rik är rik som ett troll.,Någon som är väldigt rik är rik som ett kungabarn.,x
När man inte har något att göra så rullar man...,Tummarna,När man inte har något att göra så rullar man tummarna.,När man inte har något att göra så rullar man fingrarna.,
När man ger upp och låter andra ta över så rymmer man...,Fältet,När man ger upp och låter andra ta över så rymmer man fältet.,När man ger upp och låter andra ta över så rymmer man staden.,
Ett genomgående tema är en tråd i vilket färg?,Röd,Ett genomgående tema är en röd tråd.,Ett genomgående tema är en svart tråd.,
När man uppmanar någon att ta det lugnt så säger man sakta i...,Backarna,När man uppmanar någon att ta det lugnt så säger man sakta i backarna.,När man uppmanar någon att ta det lugnt så säger man sakta i vägarna.,x
När man är utsatt för en livsfara ser man döden i...,Vitögat,När man är utsatt för en livsfara ser man döden i vitögat.,När man är utsatt för en livsfara ser man döden i ansiktet.,
Om man har samma problem och ska samarbeta för att ta sig ur det så sitter man i samma...,Båt,Om man har samma problem och ska samarbeta för att ta sig ur det så sitter man i samma båt.,Om man har samma problem och ska samarbeta för att ta sig ur det så sitter man i samma bil.,
Något som sitter alltför snävt om kroppen sitter som ett...,Korvskinn,Något som sitter alltför snävt om kroppen sitter som ett korvskinn.,Något som sitter alltför snävt om kroppen sitter som ett bälte.,
När man skakar hastigt t.ex. av kyla eller rädsla då darrar man som ett...,Asplöv,När man skakar hastigt t.ex. . av kyla eller rädsla då darrar man som ett asplöv.,När man skakar hastigt t.ex. . av kyla eller rädsla då darrar man som ett rep.,x
När man prickar rätt med det man säger så slår man huvudet på...,Spiken,När man prickar rätt med det man säger så slår man huvudet på spiken. ,När man prickar rätt med det man säger så slår man huvudet på knappen. ,
Om man tänkt stödja sin egen ståndpunkt men råkar göra motsatsen så skjuter man sig själv i...,Foten,Om man tänkt stödja sin egen ståndpunkt men råkar göra motsatsen så skjuter man sig själv i foten.,Om man tänkt stödja sin egen ståndpunkt men råkar göra motsatsen så skjuter man sig själv i huvudet.,
"När man arbetar ihop, ska gifta sig eller flytta ihop så slår man sina dessa ihop.",Påsar,"När man arbetar ihop, ska gifta sig eller flytta ihop så slår man sina påsar ihop.","När man arbetar ihop, ska gifta sig eller flytta ihop så slår man sina liv ihop.",
Om man uppnår två syften med samma handling då slår man två av vadå för något i en smäll?,Flugor,Om man uppnår två syften med samma handling då slår man två flugor i en smäll.,Om man uppnår två syften med samma handling då slår man två myggor i en smäll.,
En detalj som innebär inskränkning i någons glädje är smolk i...,Glädjebägaren,En detalj som innebär inskränkning i någons glädje är smolk i glädjebägaren.,En detalj som innebär inskränkning i någons glädje är smolk i nöjesparken.,x
Ett missförstånd eller oenighet mellan två personer är smolk i,Mjölken,Ett missförstånd eller oenighet mellan två personer är smolk i mjölken.,Ett missförstånd eller oenighet mellan två personer är smolk i kaffet.,x
Något som inträffar helt oväntat slår ner som en sådan från klar himmel. ,Blixt,Något som inträffar helt oväntat slår som en blixt ner från klar himmel.,Något som inträffar helt oväntat slår som ett inslag ner från klar himmel.,
När det är ordnat eller färdigt säger man att saken är...,Biff,När det är ordnat eller färdigt säger man att saken är biff.,När det är ordnat eller färdigt säger man att saken är korv.,x
Att visa sitt ogillande kallas också för att rynka på...,Näsan,Att visa sitt ogillande kallas också för att rynka på näsan.,Att visa sitt ogillande kallas också för att rynka på munnen.,
Om man vill säga att det inte räcker att nästan lyckas kan man säga att nära skuter ingen...,Hare,Om man vill säga att det inte räcker att nästan lyckas kan man säga att nära skjuter ingen hare.,Om man vill säga att det inte räcker att nästan lyckas kan man säga att nära skjuter ingen älg.,
När man inte blir nöjd då passar inte...,Galoscherna,När man inte blir nöjd då passar inte galoscherna.,När man inte blir nöjd då passar inte handskarna.,x
När något börjar verka riskabelt då osar det vilket djur då?,Katt,När något börjar verka riskabelt då osar det katt.,När något börjar verka riskabelt då osar det varg.,x
Om man vill uttrycka sin protest eller negativa inställning till att göra något säger man att det bara kan hända när vadå för något fryser till is?,Helvetet,Om man vill uttrycka sin protest eller negativa inställning till att göra något säger man att det bara kan hända när helvetet fryser till is.,Om man vill uttrycka sin protest eller negativa inställning till att göra något säger man att det bara kan hända när havet fryser till is.,
När man fått en jättestor summa pengar så gör man det här hela vägen till banken.,Skratta,När man fått en jättestor summa pengar så skrattar man hela vägen till banken.,När man fått en jättestor summa pengar så springer man hela vägen till banken.,
Någon som avbryter alla förbindelser river alla dessa bakom sig.,Broar,Någon som avbryter alla förbindelser river alla broar bakom sig.,Någon som avbryter alla förbindelser river alla väger bakom sig.,
Någon som har för mycket energi beter sig som den här karaktären.  ,Duracellkanin,Någon som har för mycket energi beter sig som en Duracellkanin.,Någon som har för mycket energi beter sig som en ekorre.,
Om man vinner överlägset sopar man...,Banan,Om man vinner överlägset sopar man banan.,Om man vinner överlägset sopar man fältet.,
När man sover mycket djupt sover man som en...,Stock,När man sover mycket djupt sover man som en stock.,När man sover mycket djupt sover man som en sten.,
Om man gör något i fel ordning så spänner man vad bakom vagnen?,Hästarna,Om man gör något i fel ordning så spänner man hästarna bakom vagnen.,Om man gör något i fel ordning så spänner man oxen bakom vagnen.,
Någon som uppskattas intensivt under en kortare period för att sedan överges när vardagen tar vid kan kallas för en...,Sommarkatt,Någon som uppskattas intensivt under en kortare period för att sedan överges när vardagen tar vid kan kallas för en sommarkatt.,Någon som uppskattas intensivt under en kortare period för att sedan överges när vardagen tar vid kan kallas för en julkatt.,x
När något försvinner väldigt snabbt så går det åt som smör i... ,Solsken,När något försvinner väldigt snabbt så går det åt som smör i solsken.,När något försvinner väldigt snabbt så går det åt som smör i pannan.,
Något som är mycket obetydligt är som sparven i...,Tranedansen,Något som är mycket obetydligt är som sparven i tranedansen.,Något som är mycket obetydligt är som sparven i djurparken.,x
När man förbereder sig för en ny insats spottar man i...,Nävarna,När man förbereder sig för en ny insats spottar man i nävarna.,När man förbereder sig för en ny insats spottar man i ån.,
Att elda så man slösar på värme kan kallas för att elda för...,Kråkorna,Att elda så man slösar på värme kan kallas för att elda för kråkorna.,Att elda så man slösar på värme kan kallas för att elda för jäveln.,x
När något är helt meningslöst så är det som att slå vatten på en...,Gås,När något är helt meningslöst så är det som att slå vatten på en gås.,När något är helt meningslöst så är det som att slå vatten på en anka.,x
När man gör en meningslös åtgärd då spiller man krut på döda...,Kråkor ,När man gör en meningslös åtgärd då spiller man krut på döda kråkor.,När man gör en meningslös åtgärd då spiller man krut på döda fiskar.,x
När man bevisar något vedertaget så är det som att slå in öppna...,Dörrar,När man bevisar något vedertaget så är det som att slå in öppna dörrar.,När man bevisar något vedertaget så är det som att slå in öppna fönster.,
Att blunda för verkligheten är att sticka huvudet i...,Sanden,Att blunda för verkligheten är att sticka huvudet i sanden.,Att blunda för verkligheten är att sticka huvudet i marken.,
Något som irriterar genom att vara alltför märkbart gör detta i ögonen på folk. ,Sticka,Något som irriterar genom att vara alltför märkbart sticker i ögonen på folk.,Något som irriterar genom att vara alltför märkbart hopper i ögonen på folk.,
Något som kommer att inträffa helt säkert kommer som ett brev på...,Posten,Något som kommer att inträffa helt säkert kommer som ett brev på posten.,Något som kommer att inträffa helt säkert kommer som ett brev på brevlådan.,x
Någon som är väldigt stolt är stolt som en...,Tupp,Någon som är väldigt stolt är stolt som en tupp.,Någon som är väldigt stolt är stolt som en hjort.,x
När man slutar kriga sticker man svärdet i...,Skidan,När man slutar kriga sticker man svärdet i skidan.,När man slutar kriga sticker man svärdet i sanden.,
Ätt dölja undanhålla eller dölja något kan även uttryckas som att man inte ska sticka under vadå för något med? ,Stol,Att undanhålla eller dölja något kan även uttryckas som att man inte ska sticka under stol med det.,Att undanhålla eller dölja något kan även uttryckas som att man inte ska sticka under bord med det.,
När man vågar säga sin sak även om man riskerar motstånd så sticker man ut...,Hakan,När man vågar säga sin sak även om man riskerar motstånd så sticker man ut hakan.,När man vågar säga sin sak även om man riskerar motstånd så sticker man ut näsan.,
En stor oro för något som inte kräver det är en storm i ett...,Vattenglas,En stor oro för något som inte kräver det är en storm i ett vattenglas.,En stor oro för något som inte kräver det är en storm i ett teglas.,
En mäktig person i arbetslivet är en...,Storpotatis,En mäktig person i arbetslivet är en storpotatis.,En mäktig person i arbetslivet är en mammut.,x
Ett oväntad hinder är ett vadå för något i räkningen?,Streck,Ett oväntat hinder är ett streck i räkningen.,Ett oväntat hinder är ett kryss i räkningen.,
När man slutar göra motstånd då stryker man på...,Foten,När man slutar göra motstånd då stryker man på foten.,När man slutar göra motstånd då stryker man på handen.,
När man betalar åt alla står man för vilka instrument? ,Fiolerna,När man betalar åt alla står man för fiolerna.,När man betalar åt alla står man för oboerna.,x
Någon som är helt fattig står på bar...,Backe,Någon som är helt fattig står på bar backe.,Någon som är helt fattig står på bar mark.,x
När man kommer bra överens med någon står man på god vadå för något med hen?,Fot,När man kommer bra överens med någon står man på god fot med hen.,När man kommer bra överens med någon står man på gott humör med hen.,
När man står i valet mellan två alternativ som båda verkar attraktiva då står man som vilket djur då mellan två hötappar?,Åsna,När man står i valet mellan två alternativ som båda verkar attraktiva då står man som en åsna mellan två hötappar.,När man står i valet mellan två alternativ som båda verkar attraktiva då står man som en häst mellan två hötappar.,
När man konfronterar någon på ett sådant sätt så att det inte går att slingra sig undan då ställer man hen mot...,Väggen,När man konfronterar någon på ett sådant sätt så att det inte går att slingra sig undan då ställer man hen mot väggen.,När man konfronterar någon på ett sådant sätt så att det inte går att slingra sig undan då ställer man hen mot vägen.,
Slutsatsen från en lång rad händelser eller argument är summan av...,Kardemumman,Slutsatsen från en lång rad händelser eller argument är summan av kardemumman.,Slutsatsen från en lång rad händelser eller argument är summan av soppan.,x
När man tål mycket mer alkohol än någon annan då kan man dricka hen under...,Bordet,När man tål mycket mer alkohol än någon annan då kan man dricka hen under bordet.,När man tål mycket mer alkohol än någon annan då kan man dricka hen under sängen.,
När något växer mycket intensivt då växer det så det...,Knakar,När något växer mycket intensivt då växer det så det knakar.,När något växer mycket intensivt då växer det så det syns.,
När man har det knappt och måste leva sparsamt så suger man på...,Ramarna,När man har det knappt och måste leva sparsamt så suger man på ramarna.,När man har det knappt och måste leva sparsamt så suger man på trädet.,
När man tar ut något i förskott säljer man skinnet innan vilket djur är skjuten? ,Björnen,När man tar ut något i förskott säljer man skinnet innan björnen är skjuten.,När man tar ut något i förskott säljer man skinnet innan haren är skjuten.,
När man ramlar hårt då slår man en...,Rova,När man ramlar då slår man en rova.,När man ramlar då slår man en potatis.,
När det inte går att fastställa eller definiera något då kan man inte sätta vad på det?,Fingret,När det inte går att fastställa eller definiera något då kan man inte sätta fingret på det.,När det inte går att fastställa eller definiera något då kan man inte sätta kniven på det.,
När man ger någon konstiga och kanske felaktiga idéer sätter man vadå för något i huvudet på hen?,Griller,När man ger någon konstiga och kanske felaktiga idéer sätter man griller i huvudet på hen,När man ger någon konstiga och kanske felaktiga idéer sätter man myr i huvudet på hen,x
När man hindrar någon från att genomföra hens planer då sätter man vadå för något i hjulet för dem?,Käppar,När man hindrar någon från att genomföra hens planer då sätter man käppar i hjulet för dem.,När man hindrar någon från att genomföra hens planer då sätter man sand i hjulet för dem.,
Någon som beter sig stolt och överlägset sätter vadå för något i vädret?,Näsan,Någon som beter sig stolt och överlägset sätter näsan i vädret.,Någon som beter sig stolt och överlägset sätter fingret i vädret.,
När man gör motstand då sätter man sig på...,Bakhasorna,När man gör motstånd då sätter man sig på bakhasorna.,När man gör motstånd då sätter man sig på bakhovarna.,
När man är blygsam och döljer sina förmågor då sätter man sitt ljus under...,Skäppan,När man är blygsam och döljer sina förmågor då sätter man sitt ljus under skäppan.,När man är blygsam och döljer sina förmågor då sätter man sitt ljus under skuggan.,
När man anstränger sig sitt yttersta så kan man också säga att man sätter till alla... ,Klutar,När man anstränger sig sitt yttersta så kan man också säga att man sätter till alla klutar.,När man anstränger sig sitt yttersta så kan man också säga att man sätter till alla hästar.,
När man bedömer något att vara sant så är det att ta något för...,Kontant,När man bedömer något att vara sant så är det att ta något för kontant.,När man bedömer något att vara sant så är det att ta något för myntan.,
När man blir kraftigt överraskad då blir man tagen på... ,Sängen,När man blir kraftigt överraskad då blir man tagen på sängen.,När man blir kraftigt överraskad då blir man tagen på morgonen.,
När man bestraffar någon i form av skarp tillrättavisning då tar man hen i...,Kragen,När man bestraffar någon i form av skarp tillrättavisning då tar man hen i kragen.,När man bestraffar någon i form av skarp tillrättavisning då tar man hen i halsen.,
Någon som talar i pedantiskt väl övervägda ord talar som en...,Bok ,Någon som talar i pedantiskt väl övervägda ord talar som en bok.,Någon som talar i pedantiskt väl övervägda ord talar som en tigning.,
När man säger vad man tycker då talar man ur...,Skägget,När man säger vad man tycker då talar man ur skägget.,När man säger vad man tycker då talar man ur magen.,
Något som man inte skulle tro okritiskt skulle man ta med en nypa...,Salt,Något som man inte skulle tro okritiskt skulle man ta med en nypa salt.,Något som man inte skulle tro okritiskt skulle man ta med en nypa peppar.,
Något som väcker stark förtjusning från första stund tar publiken med...,Storm,Något som väcker stark förtjusning från första stund tar publiken med storm.,Något som väcker stark förtjusning från första stund tar publiken med skratt.,
Något som gör att man tappar motivationen eller blir trött suger vad för något ur en?,Musten,Något som gör att man tappar motivationen eller blir trött suger musten ur en.,Något som gör att man tappar motivationen eller blir trött suger saltet ur en.,x
När man gör något och ignorerar att det kan ha negativa konsekvenser då tar man det med en...,Klackspark,När man gör något och ignorerar att det kan ha negativa konsekvenser då tar man det med en klackspark.,När man gör något och ignorerar att det kan ha negativa konsekvenser då tar man det med en dans.,x
Om man köper något på kredit då tar man det på...,Krita,Om man köper något på kredit då tar man det på krita.,Om man köper något på kredit då tar man det på papper.,
När något inte längre är aktuellt så är det den snö som föll i... ,Fjol,När något inte längre är aktuellt så är det den snö som föll i fjol.,När något inte längre är aktuellt så är det den snö som föll i vintern.,
När man skärper sig då tar man sig i...,Kragen,När man skärper sig då tar man sig i kragen.,När man skärper sig då tar man sig i skorna.,
När man lyckas ta sig ur en farlig situation utan förlust då kan man ta sin vem då ur skolan? ,Mats,När man lyckas ta sig ur en farlig situation utan förlust då kan man ta sin Mats ur skolan.,När man lyckas ta sig ur en farlig situation utan förlust då kan man ta sin kille ur skolan.,x
